# Метеостанция Москва (ВДНХ), Россия, WMO_ID=27612, выборка с 09.09.2024 по 09.09.2025, все дни
# Кодировка: ANSI
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=27612&lang=ru
#
"Местное время в Москве (ВДНХ)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"09.09.2025 21:00";"16.8";"757.7";"771.1";"0.9";"72";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"23.8";"";"";"";"";"";"20.0";"11.6";"Осадков нет";"12";"";"";"";"";
"09.09.2025 18:00";"21.4";"756.8";"770.0";"0.0";"57";"Ветер, дующий с востока";"1";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"20–30%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"12.5";"Осадков нет";"12";"";"";"";"";
"09.09.2025 15:00";"23.4";"756.8";"769.9";"-0.4";"51";"Ветер, дующий с юго-востока";"1";"";"";"50%.";" ";"";"";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"50%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"12.7";"";"";"";"";"";"";
"09.09.2025 12:00";"21.8";"757.2";"770.3";"-0.1";"59";"Ветер, дующий с северо-востока";"1";"";"";"60%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"60%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"13.5";"";"";"";"";"";"";
"09.09.2025 09:00";"17.7";"757.3";"770.6";"0.4";"75";"Ветер, дующий с северо-северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"11.0";"";"";"";"";"";"";"19.0";"13.2";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"9.0";"";"";
"09.09.2025 06:00";"11.1";"756.9";"770.6";"0.1";"98";"Штиль, безветрие";"0";"";"";"20–30%.";"Дымка. ";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"11.0";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"8.0";"10.8";"Осадков нет";"12";"";"";"";"";
"09.09.2025 03:00";"11.7";"756.8";"770.5";"0.1";"97";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"11.2";"";"";"";"";"";"";
"09.09.2025 00:00";"13.2";"756.7";"770.2";"0.3";"94";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"18.0";"12.2";"";"";"";"";"";"";
"08.09.2025 21:00";"15.4";"756.4";"769.8";"0.4";"85";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"";"22.8";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"12.9";"Осадков нет";"12";"";"";"";"";
"08.09.2025 18:00";"20.8";"756.0";"769.2";"-0.5";"56";"Ветер, дующий с востоко-юго-востока";"1";"";"";"60%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"11.6";"Осадков нет";"12";"";"";"";"";
"08.09.2025 15:00";"22.2";"756.5";"769.7";"-0.4";"50";"Ветер, дующий с северо-востока";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"40%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"11.3";"";"";"";"";"";"";
"08.09.2025 12:00";"20.2";"756.9";"770.2";"-0.4";"58";"Ветер, дующий с востоко-юго-востока";"1";"";"";"60%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"40%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"11.5";"";"";"";"";"";"";
"08.09.2025 09:00";"18.2";"757.3";"770.6";"0.1";"70";"Ветер, дующий с востоко-юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"11.2";"";"";"";"";"";"";"20.0";"12.6";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"10.0";"";"";
"08.09.2025 06:00";"11.3";"757.2";"770.8";"-0.1";"98";"Штиль, безветрие";"0";"";"";"Облаков нет.";"Дымка. ";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"11.2";"";"";"";"";"";"";"8.0";"11.0";"Осадков нет";"12";"";"";"";"";
"08.09.2025 03:00";"12.4";"757.3";"770.9";"0.3";"97";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"11.9";"";"";"";"";"";"";
"08.09.2025 00:00";"14.7";"757.0";"770.5";"0.1";"90";"Штиль, безветрие";"0";"";"";"60%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"19.0";"13.0";"";"";"";"";"";"";
"07.09.2025 21:00";"15.8";"756.9";"770.3";"0.5";"86";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"23.0";"";"";"";"";"";"11.0";"13.4";"Осадков нет";"12";"";"";"";"";
"07.09.2025 18:00";"20.9";"756.4";"769.6";"-0.2";"57";"Ветер, дующий с северо-востока";"1";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"12.1";"Осадков нет";"12";"";"";"";"";
"07.09.2025 15:00";"22.5";"756.6";"769.7";"-0.3";"52";"Ветер, дующий с северо-северо-востока";"2";"";"";"60%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"12.0";"";"";"";"";"";"";
"07.09.2025 12:00";"21.4";"756.9";"770.1";"-0.4";"58";"Ветер, дующий с востоко-юго-востока";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"19.0";"12.7";"";"";"";"";"";"";
"07.09.2025 09:00";"17.7";"757.3";"770.7";"0.5";"74";"Ветер, дующий с севера";"1";"";"";"70 – 80%.";" ";"";"";"13.3";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"50%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"19.0";"12.9";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"12.0";"";"";
"07.09.2025 06:00";"13.5";"756.8";"770.4";"0.0";"92";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"13.5";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"13.0";"12.2";"Осадков нет";"12";"";"";"";"";
"07.09.2025 03:00";"15.7";"756.8";"770.2";"0.4";"84";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"19.0";"13.0";"";"";"";"";"";"";
"07.09.2025 00:00";"17.5";"756.4";"769.8";"0.4";"70";"Ветер, дующий с северо-востока";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"20.0";"12.0";"";"";"";"";"";"";
"06.09.2025 21:00";"18.5";"756.0";"769.3";"0.6";"65";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";" ";"";"";"";"22.2";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"11.7";"Осадков нет";"12";"";"";"";"";
"06.09.2025 18:00";"20.0";"755.4";"768.7";"-0.1";"56";"Ветер, дующий с востока";"1";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"1500-2000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"10.8";"Осадков нет";"12";"";"";"";"";
"06.09.2025 15:00";"21.6";"755.5";"768.7";"-0.3";"48";"Ветер, дующий с северо-северо-востока";"2";"";"";"20–30%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"20–30%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"10.1";"";"";"";"";"";"";
"06.09.2025 12:00";"20.4";"755.8";"769.0";"0.0";"55";"Ветер, дующий с востока";"1";"";"";"40%.";" ";"";"";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"40%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"10.9";"";"";"";"";"";"";
"06.09.2025 09:00";"16.3";"755.8";"769.2";"0.5";"74";"Ветер, дующий с севера";"1";"";"";"Облаков нет.";" ";"";"";"10.2";"";"";"";"";"";"";"20.0";"11.7";"Осадков нет";"12";"Поверхность почвы влажная.";"9.0";"";"";
"06.09.2025 06:00";"10.2";"755.3";"769.0";"0.5";"99";"Штиль, безветрие";"0";"";"";"Облаков нет.";"Дымка. ";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"10.2";"";"";"";"";"";"";"9.0";"10.0";"Осадков нет";"12";"";"";"";"";
"06.09.2025 03:00";"11.5";"754.8";"768.4";"0.4";"97";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"19.0";"11.0";"";"";"";"";"";"";
